trader_id,day,position_notional_m,n_trades,trade_hour,daily_pnl_m,cancel_rate,limit_util,rogue_active
T000,0,15.757,21,10.45,-0.67,0.134,0.408,0
T000,1,13.468,23,9.51,0.69,0.087,0.348,0
T000,2,15.102,20,10.12,0.418,0.092,0.391,0
T000,3,14.273,19,11.09,0.887,0.086,0.369,0
T000,4,17.184,23,9.81,0.182,0.071,0.445,0
T000,5,15.617,22,11.1,-1.144,0.071,0.404,0
T000,6,18.927,19,11.44,-1.322,0.054,0.49,0
T000,7,14.652,20,11.33,-0.15,0.031,0.379,0
T000,8,15.791,24,10.04,0.125,0.107,0.409,0
T000,9,14.575,18,10.96,-0.369,0.072,0.377,0
T000,10,15.232,20,10.39,-1.325,0.026,0.394,0
T000,11,14.584,25,10.11,0.579,0.044,0.377,0
T000,12,17.409,16,10.91,0.187,0.048,0.45,0
T000,13,15.511,26,10.23,-0.804,0.068,0.401,0
T000,14,16.288,26,9.28,-0.502,0.049,0.421,0
T000,15,12.05,18,10.78,0.658,0.212,0.312,0
T000,16,10.516,22,9.66,-0.326,0.039,0.272,0
T000,17,13.059,16,9.98,-0.042,0.175,0.338,0
T000,18,12.713,19,9.75,1.6705149999999975,0.049,0.329,0
T000,19,15.097,21,9.82,0.35,0.073,0.391,0
T000,20,19.123,22,10.35,0.224,0.182,0.495,0
T000,21,19.022,22,9.25,-1.075,0.204,0.492,0
T000,22,18.85,18,9.58,0.505,0.06,0.488,0
T000,23,15.671,23,8.42,-0.038,0.047,0.405,0
T000,24,17.585,18,10.5,-0.38,0.055,0.455,0
T000,25,13.847,21,10.71,0.139,0.029,0.358,0
T000,26,19.813,19,10.18,-1.149,0.038,0.513,0
T000,27,10.481,21,9.41,-0.416,0.057,0.271,0
T000,28,20.398,18,9.37,1.443,0.331,0.528,0
T000,29,13.172,21,11.25,0.341,0.08,0.341,0
T000,30,14.843,22,9.92,0.37,0.136,0.384,0
T000,31,13.787,22,10.37,1.644,0.22,0.357,0
T000,32,16.066,18,11.66,0.206,0.09,0.416,0
T000,33,14.367,22,10.52,-0.229,0.07,0.372,0
T000,34,9.508,21,10.65,0.232,0.055,0.246,0
T000,35,17.464,21,10.41,-0.827,0.054,0.452,0
T000,36,18.191,23,12.21,0.345,0.13,0.471,0
T000,37,12.728,24,10.28,0.92,0.109,0.329,0
T000,38,15.305,18,9.95,1.187,0.145,0.396,0
T000,39,13.904,22,11.63,0.478,0.006,0.36,0
T000,40,19.209,15,9.88,0.464,0.016,0.497,0
T000,41,17.348,25,10.7,0.184,0.097,0.449,0
T000,42,16.35,24,9.41,-0.098,0.213,0.423,0
T000,43,15.487,25,11.33,0.661,0.117,0.401,0
T000,44,19.181,20,10.58,1.028,0.024,0.496,0
T000,45,16.676,22,9.06,-1.814,0.074,0.431,0
T000,46,15.781,24,10.7,0.416,0.043,0.408,0
T000,47,16.669,21,10.35,0.651,0.014,0.431,0
T000,48,13.888,24,10.19,0.155,0.153,0.359,0
T000,49,18.6,22,9.63,-0.467,0.021,0.481,0
T000,50,19.451,17,10.86,-0.817,0.157,0.503,0
T000,51,14.222,18,9.82,0.336,0.063,0.368,0
T000,52,14.666,17,11.54,-0.26,0.157,0.379,0
T000,53,20.277,22,10.63,0.845,0.039,0.525,0
T000,54,13.528,17,8.4,-0.878,0.037,0.35,0
T000,55,16.267,20,10.19,0.146,0.095,0.421,0
T000,56,15.475,29,10.69,1.126,0.084,0.4,0
T000,57,16.458,19,11.14,0.852,0.091,0.426,0
T000,58,17.63,16,10.14,-1.564,0.016,0.456,0
T000,59,8.586,20,12.89,0.342,0.072,0.222,0
T000,60,15.691,21,11.26,0.271,0.101,0.406,0
T000,61,13.402,26,10.28,1.103,0.054,0.347,0
T000,62,19.089,20,9.53,-0.352,0.093,0.494,0
T000,63,9.908,19,8.78,-0.649,0.098,0.256,0
T000,64,15.932,18,11.18,0.52,0.095,0.412,0
T000,65,14.748,19,9.44,-0.977,0.035,0.382,0
T000,66,13.685,24,11.21,-0.125,0.045,0.354,0
T000,67,16.068,19,10.66,-1.143,0.179,0.416,0
T000,68,9.872,18,10.18,-0.842,0.157,0.255,0
T000,69,19.197,18,10.72,1.43,0.017,0.497,0
T000,70,17.345,22,8.7,0.405,0.057,0.449,0
T000,71,17.23,23,8.79,0.423,0.045,0.446,0
T000,72,13.59,18,11.18,0.19,0.053,0.352,0
T000,73,14.023,23,9.94,-0.323,0.276,0.363,0
T000,74,21.373,20,8.53,-0.244,0.08,0.553,0
T000,75,11.995,24,12.52,0.135,0.053,0.31,0
T000,76,12.513,16,10.64,-0.307,0.161,0.324,0
T000,77,16.201,19,10.65,0.952,0.061,0.419,0
T000,78,14.667,21,8.77,-1.269,0.186,0.379,0
T000,79,13.805,18,11.31,0.274,0.247,0.357,0
T000,80,17.355,23,11.72,-0.409,0.047,0.449,0
T000,81,14.475,22,10.23,0.748,0.007,0.375,0
T000,82,13.226,19,10.27,0.874,0.066,0.342,0
T000,83,13.349,23,10.25,0.509,0.097,0.345,0
T000,84,14.972,18,8.91,0.539,0.061,0.387,0
T000,85,11.99,19,11.93,0.222,0.159,0.31,0
T000,86,15.596,23,10.28,0.218,0.074,0.403,0
T000,87,17.784,25,9.45,-1.461,0.059,0.46,0
T000,88,14.598,19,10.48,-0.235,0.023,0.378,0
T000,89,17.443,23,10.91,0.981,0.104,0.451,0
T000,90,11.324,22,9.91,-1.005,0.157,0.293,0
T000,91,15.488,22,9.38,0.312,0.082,0.401,0
T000,92,19.629,24,10.48,0.195,0.102,0.508,0
T000,93,12.561,23,10.86,-1.403,0.058,0.325,0
T000,94,15.551,19,9.39,0.271,0.081,0.402,0
T000,95,14.72,22,10.27,-0.454,0.106,0.381,0
T000,96,14.528,22,10.74,-0.895,0.07,0.376,0
T000,97,15.528,22,10.35,0.954,0.203,0.402,0
T000,98,13.386,21,11.9,1.443,0.06,0.346,0
T000,99,15.764,23,13.65,0.669,0.048,0.408,0
T000,100,17.568,22,10.75,0.011,0.149,0.455,0
T000,101,12.116,21,10.55,-0.545,0.143,0.313,0
T000,102,15.352,22,9.46,0.569,0.125,0.397,0
T000,103,15.221,21,10.7,0.744,0.038,0.394,0
T000,104,18.348,20,7.97,-1.338,0.043,0.475,0
T000,105,17.894,19,9.61,0.376,0.018,0.463,0
T000,106,19.144,20,12.53,-0.177,0.032,0.495,0
T000,107,16.749,20,11.46,0.909,0.14,0.433,0
T000,108,14.723,19,10.59,-0.449,0.072,0.381,0
T000,109,15.636,22,10.92,0.915,0.177,0.405,0
